season,matchday,team,Pts,Sum,GD
2019-2020,13,Valencia,17.0,1.0,-1.0
2019-2020,13,Athletic,17.0,-1.0,4.0
2019-2020,13,Getafe,19.0,3.0,3.0
2019-2020,13,Granada CF,20.0,-1.0,4.0
2019-2020,13,CA Osasuna,18.0,2.0,3.0
2019-2020,13,Villarreal,18.0,0.0,9.0
2019-2020,13,Real Valladolid,17.0,1.0,0.0
2019-2020,13,Levante,17.0,1.0,1.0
2019-2020,13,Alavés,12.0,-2.0,-7.0
2019-2020,13,SD Eibar,15.0,0.0,-3.0
2019-2020,13,RCD Mallorca,11.0,0.0,-9.0
2019-2020,13,Real Betis,13.0,-1.0,-7.0
2019-2020,13,Celta de Vigo,9.0,-3.0,-9.0
2019-2020,13,Espanyol,8.0,-3.0,-14.0
2019-2020,13,CD Leganés,5.0,-3.0,-15.0
2019-2020,12,Real Madrid,22.0,1.0,12.0
2019-2020,12,Barcelona,23.0,4.0,17.0
2019-2020,12,Real Sociedad,19.0,-1.0,6.0
2019-2020,12,Sevilla FC,20.0,2.0,2.0
2019-2020,12,Atlético Madrid,20.0,1.0,5.0
2019-2020,12,Granada CF,20.0,1.0,5.0
2019-2020,12,Getafe,16.0,1.0,2.0
2019-2020,12,Villarreal,17.0,1.0,9.0
2019-2020,12,CA Osasuna,15.0,1.0,1.0
2019-2020,12,Levante,14.0,0.0,-1.0
2019-2020,12,Real Valladolid,14.0,1.0,-3.0
2019-2020,12,Valencia,14.0,1.0,-2.0
2019-2020,12,Athletic,16.0,-2.0,4.0
2019-2020,12,SD Eibar,12.0,0.0,-4.0
2019-2020,12,Real Betis,12.0,-2.0,-7.0
2019-2020,12,Alavés,12.0,0.0,-5.0
2019-2020,12,RCD Mallorca,11.0,0.0,-6.0
2019-2020,12,Celta de Vigo,9.0,-3.0,-8.0
2019-2020,12,Espanyol,8.0,-3.0,-13.0
2019-2020,12,CD Leganés,5.0,-3.0,-14.0
2019-2020,11,Barcelona,20.0,4.0,13.0
2019-2020,11,Real Madrid,19.0,1.0,7.0
2019-2020,11,Atlético Madrid,19.0,2.0,5.0
2019-2020,11,Sevilla FC,19.0,1.0,2.0
2019-2020,11,Granada CF,20.0,2.0,7.0
2019-2020,11,Real Sociedad,19.0,1.0,7.0
2019-2020,11,Villarreal,17.0,1.0,10.0
2019-2020,11,Athletic,13.0,-3.0,1.0
2019-2020,11,Getafe,13.0,0.0,0.0
2019-2020,11,CA Osasuna,14.0,0.0,1.0
2019-2020,11,Valencia,13.0,1.0,-2.0
2019-2020,11,Real Valladolid,14.0,2.0,1.0
2019-2020,11,Levante,11.0,-2.0,-2.0
2019-2020,11,Alavés,11.0,-1.0,-5.0
2019-2020,11,Real Betis,9.0,-2.0,-8.0
2019-2020,11,SD Eibar,9.0,0.0,-5.0
2019-2020,11,RCD Mallorca,10.0,-1.0,-6.0
2019-2020,11,Celta de Vigo,9.0,-2.0,-7.0
2019-2020,11,Espanyol,8.0,-2.0,-10.0
2019-2020,11,CD Leganés,5.0,-2.0,-9.0
2019-2020,10,Granada CF,17.0,2.0,6.0
2019-2020,10,Barcelona,19.0,3.0,13.0
2019-2020,10,Atlético Madrid,16.0,1.0,3.0
2019-2020,10,Sevilla FC,16.0,-1.0,0.0
2019-2020,10,Real Sociedad,16.0,1.0,6.0
2019-2020,10,Real Madrid,18.0,2.0,7.0
2019-2020,10,Villarreal,14.0,1.0,7.0
2019-2020,10,Real Valladolid,11.0,0.0,-1.0
2019-2020,10,CA Osasuna,11.0,-1.0,-1.0
2019-2020,10,Athletic,13.0,-1.0,3.0
2019-2020,10,Getafe,13.0,2.0,2.0
2019-2020,10,Valencia,13.0,2.0,0.0
2019-2020,10,Levante,11.0,-1.0,-1.0
2019-2020,10,Alavés,11.0,-1.0,-2.0
2019-2020,10,RCD Mallorca,10.0,-1.0,-5.0
2019-2020,10,Celta de Vigo,9.0,-1.0,-6.0
2019-2020,10,SD Eibar,9.0,1.0,-3.0
2019-2020,10,Real Betis,9.0,-1.0,-7.0
2019-2020,10,Espanyol,5.0,-4.0,-11.0
2019-2020,10,CD Leganés,2.0,-3.0,-10.0
2019-2020,9,Barcelona,16.0,3.0,10.0
2019-2020,9,Real Madrid,18.0,4.0,8.0
2019-2020,9,Granada CF,14.0,2.0,5.0
2019-2020,9,Atlético Madrid,15.0,0.0,3.0
2019-2020,9,Real Sociedad,13.0,1.0,4.0
2019-2020,9,Sevilla FC,13.0,-1.0,-1.0
2019-2020,9,Villarreal,11.0,1.0,6.0
2019-2020,9,Getafe,10.0,1.0,0.0
2019-2020,9,Athletic,12.0,-1.0,3.0
2019-2020,9,Valencia,12.0,1.0,0.0
2019-2020,9,Alavés,8.0,-3.0,-4.0
2019-2020,9,CA Osasuna,11.0,0.0,0.0
2019-2020,9,Real Valladolid,10.0,0.0,-1.0
2019-2020,9,Levante,11.0,-1.0,0.0
2019-2020,9,RCD Mallorca,7.0,-2.0,-6.0
2019-2020,9,SD Eibar,9.0,1.0,0.0
2019-2020,9,Celta de Vigo,9.0,-1.0,-4.0
2019-2020,9,Real Betis,9.0,0.0,-5.0
2019-2020,9,Espanyol,5.0,-2.0,-10.0
2019-2020,9,CD Leganés,2.0,-3.0,-8.0
2019-2020,8,Real Madrid,15.0,3.0,6.0
2019-2020,8,Barcelona,13.0,2.0,6.0
2019-2020,8,Atlético Madrid,14.0,1.0,3.0
2019-2020,8,Granada CF,14.0,4.0,7.0
2019-2020,8,Real Sociedad,13.0,1.0,5.0
2019-2020,8,Sevilla FC,13.0,0.0,3.0
2019-2020,8,Valencia,9.0,1.0,-1.0
2019-2020,8,Athletic,12.0,1.0,4.0
2019-2020,8,CA Osasuna,8.0,-1.0,-1.0
2019-2020,8,Levante,8.0,-1.0,-1.0
2019-2020,8,Villarreal,11.0,2.0,7.0
2019-2020,8,Real Valladolid,9.0,-1.0,-1.0
2019-2020,8,Getafe,7.0,0.0,-1.0
2019-2020,8,Real Betis,8.0,1.0,-5.0
2019-2020,8,Celta de Vigo,6.0,-2.0,-5.0
2019-2020,8,SD Eibar,8.0,0.0,0.0
2019-2020,8,Alavés,8.0,-2.0,-3.0
2019-2020,8,RCD Mallorca,4.0,-4.0,-8.0
2019-2020,8,Espanyol,5.0,-2.0,-8.0
2019-2020,8,CD Leganés,2.0,-3.0,-7.0
2019-2020,7,Real Madrid,14.0,3.0,6.0
2019-2020,7,Granada CF,11.0,2.0,6.0
2019-2020,7,Atlético Madrid,13.0,2.0,3.0
2019-2020,7,Sevilla FC,10.0,0.0,2.0
2019-2020,7,Barcelona,10.0,2.0,4.0
2019-2020,7,Real Sociedad,13.0,3.0,6.0
2019-2020,7,Athletic,12.0,2.0,5.0
2019-2020,7,Villarreal,8.0,0.0,3.0
2019-2020,7,Valencia,6.0,-1.0,-2.0
2019-2020,7,Real Valladolid,6.0,-2.0,-3.0
2019-2020,7,SD Eibar,5.0,-1.0,-2.0
2019-2020,7,Alavés,5.0,-3.0,-5.0
2019-2020,7,Levante,7.0,0.0,-1.0
2019-2020,7,Real Betis,8.0,1.0,-1.0
2019-2020,7,CA Osasuna,7.0,-1.0,-1.0
2019-2020,7,Getafe,7.0,1.0,1.0
2019-2020,7,Celta de Vigo,6.0,0.0,-3.0
2019-2020,7,Espanyol,5.0,-1.0,-6.0
2019-2020,7,RCD Mallorca,4.0,-4.0,-6.0
2019-2020,7,CD Leganés,2.0,-3.0,-6.0
2019-2020,6,Real Madrid,11.0,3.0,4.0
2019-2020,6,Real Sociedad,10.0,2.0,3.0
2019-2020,6,Atlético Madrid,10.0,2.0,1.0
2019-2020,6,Athletic,11.0,3.0,5.0
2019-2020,6,Granada CF,10.0,2.0,6.0
2019-2020,6,Barcelona,7.0,0.0,3.0
2019-2020,6,Sevilla FC,10.0,2.0,3.0
2019-2020,6,Real Betis,5.0,-1.0,-3.0
2019-2020,6,Villarreal,8.0,1.0,4.0
2019-2020,6,Levante,7.0,0.0,1.0
2019-2020,6,Getafe,6.0,0.0,1.0
2019-2020,6,CA Osasuna,7.0,1.0,1.0
2019-2020,6,Real Valladolid,5.0,-1.0,-3.0
2019-2020,6,Valencia,5.0,-1.0,-2.0
2019-2020,6,Celta de Vigo,5.0,-1.0,-3.0
2019-2020,6,SD Eibar,2.0,-3.0,-3.0
2019-2020,6,Espanyol,4.0,-2.0,-6.0
2019-2020,6,Alavés,5.0,-1.0,-2.0
2019-2020,6,RCD Mallorca,4.0,-2.0,-4.0
2019-2020,6,CD Leganés,1.0,-4.0,-6.0
2019-2020,5,Athletic,8.0,2.0,3.0
2019-2020,5,Real Madrid,8.0,2.0,3.0
2019-2020,5,Atlético Madrid,9.0,2.0,1.0
2019-2020,5,Granada CF,7.0,1.0,4.0
2019-2020,5,Sevilla FC,10.0,3.0,4.0
2019-2020,5,Real Sociedad,7.0,1.0,1.0
2019-2020,5,Villarreal,5.0,0.0,2.0
2019-2020,5,CA Osasuna,6.0,1.0,1.0
2019-2020,5,Levante,6.0,0.0,1.0
2019-2020,5,Barcelona,7.0,1.0,5.0
2019-2020,5,Getafe,3.0,-1.0,-1.0
2019-2020,5,Valencia,4.0,-1.0,-2.0
2019-2020,5,Real Betis,4.0,-1.0,-3.0
2019-2020,5,Real Valladolid,5.0,0.0,-1.0
2019-2020,5,Celta de Vigo,4.0,-1.0,-3.0
2019-2020,5,Alavés,5.0,0.0,0.0
2019-2020,5,Espanyol,4.0,-1.0,-4.0
2019-2020,5,RCD Mallorca,4.0,-1.0,-2.0
2019-2020,5,SD Eibar,1.0,-3.0,-3.0
2019-2020,5,CD Leganés,0.0,-4.0,-6.0
2019-2020,4,Sevilla FC,7.0,2.0,3.0
2019-2020,4,Atlético Madrid,9.0,3.0,3.0
2019-2020,4,Real Madrid,5.0,1.0,2.0
2019-2020,4,Athletic,7.0,2.0,3.0
2019-2020,4,Real Sociedad,4.0,0.0,-1.0
2019-2020,4,Barcelona,4.0,0.0,2.0
2019-2020,4,Granada CF,4.0,0.0,2.0
2019-2020,4,Levante,6.0,1.0,2.0
2019-2020,4,CA Osasuna,5.0,1.0,1.0
2019-2020,4,Alavés,5.0,1.0,1.0
2019-2020,4,Real Valladolid,4.0,0.0,-1.0
2019-2020,4,Villarreal,2.0,-1.0,-1.0
2019-2020,4,RCD Mallorca,3.0,-1.0,-2.0
2019-2020,4,Celta de Vigo,4.0,0.0,-1.0
2019-2020,4,Real Betis,3.0,-1.0,-3.0
2019-2020,4,Valencia,4.0,0.0,1.0
2019-2020,4,Espanyol,1.0,-2.0,-5.0
2019-2020,4,Getafe,2.0,-1.0,-1.0
2019-2020,4,SD Eibar,1.0,-2.0,-2.0
2019-2020,4,CD Leganés,0.0,-3.0,-3.0
2019-2020,3,Atlético Madrid,6.0,2.0,2.0
2019-2020,3,Sevilla FC,6.0,2.0,3.0
2019-2020,3,Athletic,4.0,1.0,1.0
2019-2020,3,Levante,3.0,0.0,0.0
2019-2020,3,CA Osasuna,4.0,1.0,1.0
2019-2020,3,Alavés,4.0,1.0,1.0
2019-2020,3,Real Madrid,4.0,1.0,2.0
2019-2020,3,Valencia,1.0,-1.0,-1.0
2019-2020,3,Celta de Vigo,3.0,0.0,-1.0
2019-2020,3,Real Sociedad,4.0,1.0,1.0
2019-2020,3,Barcelona,3.0,0.0,2.0
2019-2020,3,Real Valladolid,4.0,1.0,1.0
2019-2020,3,Granada CF,1.0,-1.0,-1.0
2019-2020,3,Real Betis,0.0,-2.0,-4.0
2019-2020,3,RCD Mallorca,3.0,0.0,0.0
2019-2020,3,Getafe,1.0,-1.0,-1.0
2019-2020,3,Villarreal,1.0,-1.0,-1.0
2019-2020,3,Espanyol,1.0,-1.0,-2.0
2019-2020,3,SD Eibar,1.0,-1.0,-1.0
2019-2020,3,CD Leganés,0.0,-2.0,-2.0
2019-2020,2,Sevilla FC,3.0,1.0,2.0
2019-2020,2,Atlético Madrid,3.0,1.0,1.0
2019-2020,2,CA Osasuna,3.0,1.0,1.0
2019-2020,2,Real Madrid,3.0,1.0,2.0
2019-2020,2,Alavés,3.0,1.0,1.0
2019-2020,2,Real Valladolid,3.0,1.0,1.0
2019-2020,2,Athletic,3.0,1.0,1.0
2019-2020,2,Real Sociedad,1.0,0.0,0.0
2019-2020,2,Levante,0.0,-1.0,-1.0
2019-2020,2,Celta de Vigo,0.0,-1.0,-2.0
2019-2020,2,RCD Mallorca,3.0,1.0,1.0
2019-2020,2,Barcelona,0.0,-1.0,-1.0
2019-2020,2,Granada CF,1.0,0.0,0.0
2019-2020,2,Getafe,0.0,-1.0,-1.0
2019-2020,2,Villarreal,1.0,0.0,0.0
2019-2020,2,SD Eibar,0.0,-1.0,-1.0
2019-2020,2,Valencia,1.0,0.0,0.0
2019-2020,2,Espanyol,0.0,-1.0,-2.0
2019-2020,2,CD Leganés,0.0,-1.0,-1.0
2019-2020,2,Real Betis,0.0,-1.0,-1.0
2019-2020,1,Athletic,0.0,0.0,0.0
2019-2020,1,RCD Mallorca,0.0,0.0,0.0
2019-2020,1,Alavés,0.0,0.0,0.0
2019-2020,1,Atlético Madrid,0.0,0.0,0.0
2019-2020,1,Real Madrid,0.0,0.0,0.0
2019-2020,1,CA Osasuna,0.0,0.0,0.0
2019-2020,1,Sevilla FC,0.0,0.0,0.0
2019-2020,1,Real Valladolid,0.0,0.0,0.0
2019-2020,1,Valencia,0.0,0.0,0.0
2019-2020,1,Villarreal,0.0,0.0,0.0
2019-2020,1,Real Sociedad,0.0,0.0,0.0
2019-2020,1,Granada CF,0.0,0.0,0.0
2019-2020,1,Celta de Vigo,0.0,0.0,0.0
2019-2020,1,CD Leganés,0.0,0.0,0.0
2019-2020,1,Espanyol,0.0,0.0,0.0
2019-2020,1,Real Betis,0.0,0.0,0.0
2019-2020,1,Barcelona,0.0,0.0,0.0
2019-2020,1,SD Eibar,0.0,0.0,0.0
2019-2020,1,Levante,0.0,0.0,0.0
2019-2020,1,Getafe,0.0,0.0,0.0
2019-2020,42,SD Huesca,67.0,1.0,12.0
2019-2020,42,Cádiz CF,69.0,0.0,12.0
2019-2020,42,Real Zaragoza,62.0,-4.0,5.0
2019-2020,42,UD Almería,63.0,-1.0,19.0
2019-2020,42,Girona,63.0,3.0,7.0
2019-2020,42,Elche CF,58.0,0.0,7.0
2019-2020,42,Rayo Vallecano,57.0,1.0,9.0
2019-2020,42,CF Fuenlabrada,60.0,4.0,8.0
2019-2020,42,UD Las Palmas,54.0,0.0,-1.0
2019-2020,42,Alcorcón,54.0,-2.0,0.0
2019-2020,42,CD Mirandés,56.0,0.0,-3.0
2019-2020,42,CD Tenerife,55.0,0.0,5.0
2019-2020,42,Sporting Gijón,54.0,-1.0,3.0
2019-2020,42,Málaga CF,52.0,1.0,2.0
2019-2020,42,Real Oviedo,53.0,3.0,-3.0
2019-2020,42,CD Lugo,49.0,3.0,-12.0
2019-2020,42,Albacete,49.0,0.0,-11.0
2019-2020,42,Dep. La Coruña,48.0,-2.0,-18.0
2019-2020,42,Ponferradina,51.0,-3.0,-4.0
2019-2020,42,CD Numancia,47.0,-1.0,-9.0
2019-2020,42,Extremadura,43.0,1.0,-12.0
2019-2020,42,Racing,33.0,-3.0,-16.0
2019-2020,41,Cádiz CF,69.0,0.0,13.0
2019-2020,41,SD Huesca,64.0,1.0,9.0
2019-2020,41,Girona,60.0,1.0,6.0
2019-2020,41,UD Almería,63.0,0.0,20.0
2019-2020,41,Real Zaragoza,62.0,-4.0,8.0
2019-2020,41,CF Fuenlabrada,57.0,3.0,6.0
2019-2020,41,Elche CF,58.0,1.0,9.0
2019-2020,41,Rayo Vallecano,56.0,0.0,9.0
2019-2020,41,CD Mirandés,53.0,-1.0,-4.0
2019-2020,41,CD Tenerife,55.0,2.0,6.0
2019-2020,41,Sporting Gijón,54.0,1.0,5.0
2019-2020,41,Alcorcón,54.0,0.0,2.0
2019-2020,41,UD Las Palmas,53.0,0.0,-1.0
2019-2020,41,Real Oviedo,50.0,1.0,-4.0
2019-2020,41,Málaga CF,49.0,1.0,0.0
2019-2020,41,Ponferradina,48.0,-5.0,-5.0
2019-2020,41,Albacete,46.0,0.0,-14.0
2019-2020,41,CD Lugo,46.0,1.0,-13.0
2019-2020,41,Dep. La Coruña,48.0,0.0,-17.0
2019-2020,41,CD Numancia,47.0,1.0,-6.0
2019-2020,41,Extremadura,40.0,0.0,-14.0
2019-2020,41,Racing,33.0,-3.0,-15.0
2019-2020,40,Cádiz CF,69.0,1.0,14.0
2019-2020,40,SD Huesca,64.0,2.0,10.0
2019-2020,40,UD Almería,60.0,-2.0,19.0
2019-2020,40,Real Zaragoza,62.0,-2.0,10.0
2019-2020,40,Girona,59.0,2.0,6.0
2019-2020,40,Elche CF,55.0,-1.0,7.0
2019-2020,40,CF Fuenlabrada,54.0,2.0,5.0
2019-2020,40,Rayo Vallecano,56.0,1.0,10.0
2019-2020,40,CD Tenerife,54.0,3.0,6.0
2019-2020,40,Sporting Gijón,51.0,0.0,4.0
2019-2020,40,Alcorcón,53.0,1.0,2.0
2019-2020,40,UD Las Palmas,50.0,-1.0,-2.0
2019-2020,40,CD Mirandés,53.0,-1.0,-3.0
2019-2020,40,Real Oviedo,47.0,0.0,-6.0
2019-2020,40,Málaga CF,49.0,2.0,1.0
2019-2020,40,Dep. La Coruña,48.0,2.0,-16.0
2019-2020,40,Ponferradina,48.0,-4.0,-4.0
2019-2020,40,CD Numancia,44.0,-1.0,-7.0
2019-2020,40,CD Lugo,45.0,1.0,-13.0
2019-2020,40,Albacete,46.0,1.0,-12.0
2019-2020,40,Extremadura,37.0,-2.0,-15.0
2019-2020,40,Racing,30.0,-4.0,-16.0
2019-2020,39,Cádiz CF,66.0,0.0,13.0
2019-2020,39,SD Huesca,61.0,1.0,9.0
2019-2020,39,Real Zaragoza,61.0,-3.0,10.0
2019-2020,39,UD Almería,60.0,0.0,20.0
2019-2020,39,Girona,56.0,0.0,5.0
2019-2020,39,Rayo Vallecano,53.0,0.0,9.0
2019-2020,39,Elche CF,55.0,1.0,8.0
2019-2020,39,CF Fuenlabrada,51.0,2.0,4.0
2019-2020,39,CD Tenerife,53.0,4.0,6.0
2019-2020,39,CD Mirandés,50.0,-3.0,-4.0
2019-2020,39,Alcorcón,53.0,2.0,3.0
2019-2020,39,Sporting Gijón,50.0,-1.0,4.0
2019-2020,39,UD Las Palmas,50.0,1.0,-1.0
2019-2020,39,Málaga CF,46.0,1.0,0.0
2019-2020,39,Ponferradina,48.0,-2.0,-3.0
2019-2020,39,Dep. La Coruña,48.0,3.0,-15.0
2019-2020,39,Real Oviedo,44.0,0.0,-7.0
2019-2020,39,Albacete,45.0,1.0,-12.0
2019-2020,39,CD Lugo,42.0,-1.0,-14.0
2019-2020,39,CD Numancia,44.0,-1.0,-6.0
2019-2020,39,Extremadura,37.0,-1.0,-14.0
2019-2020,39,Racing,30.0,-4.0,-15.0
2019-2020,38,Cádiz CF,63.0,0.0,11.0
2019-2020,38,Real Zaragoza,61.0,-1.0,12.0
2019-2020,38,SD Huesca,61.0,1.0,10.0
2019-2020,38,UD Almería,60.0,0.0,21.0
2019-2020,38,Girona,55.0,0.0,5.0
2019-2020,38,Elche CF,52.0,-1.0,7.0
2019-2020,38,Alcorcón,52.0,1.0,3.0
2019-2020,38,CD Tenerife,50.0,3.0,5.0
2019-2020,38,Rayo Vallecano,50.0,0.0,7.0
2019-2020,38,CF Fuenlabrada,50.0,1.0,4.0
2019-2020,38,UD Las Palmas,47.0,1.0,-4.0
2019-2020,38,Sporting Gijón,49.0,0.0,4.0
2019-2020,38,CD Mirandés,49.0,-2.0,-4.0
2019-2020,38,Dep. La Coruña,45.0,2.0,-16.0
2019-2020,38,Ponferradina,48.0,0.0,0.0
2019-2020,38,Málaga CF,45.0,1.0,0.0
2019-2020,38,Albacete,44.0,2.0,-12.0
2019-2020,38,CD Numancia,41.0,-3.0,-7.0
2019-2020,38,Real Oviedo,44.0,1.0,-5.0
2019-2020,38,CD Lugo,41.0,-2.0,-14.0
2019-2020,38,Extremadura,37.0,-1.0,-13.0
2019-2020,38,Racing,30.0,-3.0,-14.0
2019-2020,37,Cádiz CF,62.0,0.0,11.0
2019-2020,37,SD Huesca,58.0,1.0,9.0
2019-2020,37,Real Zaragoza,61.0,-1.0,13.0
2019-2020,37,UD Almería,57.0,0.0,20.0
2019-2020,37,Girona,52.0,-1.0,4.0
2019-2020,37,Elche CF,51.0,-1.0,7.0
2019-2020,37,Alcorcón,51.0,2.0,3.0
2019-2020,37,CD Tenerife,49.0,2.0,5.0
2019-2020,37,Rayo Vallecano,49.0,0.0,7.0
2019-2020,37,CF Fuenlabrada,47.0,1.0,1.0
2019-2020,37,Sporting Gijón,49.0,1.0,5.0
2019-2020,37,CD Mirandés,49.0,0.0,-3.0
2019-2020,37,Ponferradina,48.0,1.0,3.0
2019-2020,37,UD Las Palmas,47.0,2.0,-3.0
2019-2020,37,Dep. La Coruña,44.0,2.0,-16.0
2019-2020,37,Málaga CF,44.0,0.0,0.0
2019-2020,37,Real Oviedo,41.0,0.0,-6.0
2019-2020,37,Albacete,43.0,1.0,-12.0
2019-2020,37,CD Lugo,38.0,-2.0,-16.0
2019-2020,37,CD Numancia,41.0,-3.0,-5.0
2019-2020,37,Extremadura,34.0,-2.0,-15.0
2019-2020,37,Racing,30.0,-3.0,-12.0
2019-2020,36,Cádiz CF,62.0,1.0,13.0
2019-2020,36,Real Zaragoza,61.0,1.0,14.0
2019-2020,36,SD Huesca,55.0,1.0,8.0
2019-2020,36,UD Almería,56.0,1.0,20.0
2019-2020,36,Girona,52.0,0.0,6.0
2019-2020,36,Alcorcón,48.0,0.0,2.0
2019-2020,36,Elche CF,50.0,0.0,7.0
2019-2020,36,CD Mirandés,48.0,1.0,-3.0
2019-2020,36,Sporting Gijón,46.0,1.0,3.0
2019-2020,36,CD Tenerife,46.0,2.0,3.0
2019-2020,36,Rayo Vallecano,49.0,0.0,8.0
2019-2020,36,Ponferradina,48.0,1.0,4.0
2019-2020,36,UD Las Palmas,46.0,1.0,-3.0
2019-2020,36,CF Fuenlabrada,46.0,0.0,1.0
2019-2020,36,Dep. La Coruña,41.0,0.0,-17.0
2019-2020,36,Málaga CF,41.0,-2.0,-2.0
2019-2020,36,Albacete,40.0,0.0,-13.0
2019-2020,36,CD Numancia,38.0,-5.0,-6.0
2019-2020,36,Real Oviedo,41.0,2.0,-5.0
2019-2020,36,CD Lugo,38.0,-1.0,-14.0
2019-2020,36,Extremadura,33.0,-3.0,-15.0
2019-2020,36,Racing,30.0,-1.0,-11.0
2019-2020,35,Cádiz CF,61.0,2.0,13.0
2019-2020,35,Real Zaragoza,58.0,0.0,13.0
2019-2020,35,UD Almería,56.0,1.0,21.0
2019-2020,35,SD Huesca,54.0,1.0,8.0
2019-2020,35,Girona,49.0,-1.0,4.0
2019-2020,35,Elche CF,50.0,2.0,8.0
2019-2020,35,Rayo Vallecano,48.0,0.0,8.0
2019-2020,35,Ponferradina,47.0,2.0,4.0
2019-2020,35,CD Mirandés,48.0,2.0,0.0
2019-2020,35,Alcorcón,45.0,0.0,1.0
2019-2020,35,CD Tenerife,43.0,0.0,0.0
2019-2020,35,UD Las Palmas,45.0,1.0,-3.0
2019-2020,35,Sporting Gijón,45.0,0.0,3.0
2019-2020,35,CF Fuenlabrada,45.0,-1.0,1.0
2019-2020,35,Real Oviedo,40.0,3.0,-5.0
2019-2020,35,Dep. La Coruña,38.0,-1.0,-18.0
2019-2020,35,Málaga CF,40.0,-2.0,-2.0
2019-2020,35,Albacete,39.0,0.0,-13.0
2019-2020,35,CD Lugo,37.0,-1.0,-14.0
2019-2020,35,CD Numancia,38.0,-5.0,-4.0
2019-2020,35,Extremadura,33.0,-2.0,-14.0
2019-2020,35,Racing,29.0,-1.0,-11.0
2019-2020,34,Cádiz CF,60.0,1.0,13.0
2019-2020,34,Real Zaragoza,58.0,2.0,15.0
2019-2020,34,UD Almería,53.0,0.0,19.0
2019-2020,34,SD Huesca,53.0,0.0,8.0
2019-2020,34,Elche CF,47.0,0.0,7.0
2019-2020,34,Girona,49.0,1.0,5.0
2019-2020,34,CD Mirandés,48.0,2.0,1.0
2019-2020,34,Rayo Vallecano,47.0,1.0,8.0
2019-2020,34,Ponferradina,44.0,0.0,3.0
2019-2020,34,UD Las Palmas,42.0,0.0,-4.0
2019-2020,34,CF Fuenlabrada,42.0,-2.0,-1.0
2019-2020,34,Sporting Gijón,45.0,2.0,4.0
2019-2020,34,Alcorcón,44.0,0.0,1.0
2019-2020,34,CD Tenerife,40.0,0.0,-1.0
2019-2020,34,Málaga CF,39.0,-1.0,-2.0
2019-2020,34,Real Oviedo,37.0,1.0,-6.0
2019-2020,34,Albacete,38.0,1.0,-13.0
2019-2020,34,Dep. La Coruña,37.0,-2.0,-18.0
2019-2020,34,CD Numancia,38.0,-5.0,-2.0
2019-2020,34,CD Lugo,37.0,1.0,-13.0
2019-2020,34,Extremadura,32.0,-1.0,-14.0
2019-2020,34,Racing,29.0,-1.0,-10.0
2019-2020,33,Cádiz CF,57.0,-1.0,12.0
2019-2020,33,Real Zaragoza,55.0,2.0,13.0
2019-2020,33,UD Almería,53.0,0.0,20.0
2019-2020,33,SD Huesca,53.0,2.0,9.0
2019-2020,33,Girona,48.0,1.0,5.0
2019-2020,33,CD Mirandés,45.0,1.0,0.0
2019-2020,33,Rayo Vallecano,44.0,0.0,7.0
2019-2020,33,Elche CF,47.0,0.0,8.0
2019-2020,33,Sporting Gijón,42.0,2.0,2.0
2019-2020,33,Ponferradina,41.0,-1.0,2.0
2019-2020,33,Alcorcón,44.0,2.0,3.0
2019-2020,33,UD Las Palmas,39.0,-1.0,-5.0
2019-2020,33,CF Fuenlabrada,42.0,-2.0,0.0
2019-2020,33,CD Tenerife,39.0,0.0,-1.0
2019-2020,33,Málaga CF,38.0,0.0,-2.0
2019-2020,33,CD Numancia,38.0,-4.0,-1.0
2019-2020,33,Albacete,35.0,0.0,-14.0
2019-2020,33,CD Lugo,37.0,3.0,-11.0
2019-2020,33,Real Oviedo,36.0,0.0,-6.0
2019-2020,33,Dep. La Coruña,36.0,-2.0,-18.0
2019-2020,33,Extremadura,32.0,0.0,-13.0
2019-2020,33,Racing,28.0,-2.0,-10.0
2019-2020,32,Cádiz CF,56.0,0.0,12.0
2019-2020,32,Real Zaragoza,55.0,3.0,15.0
2019-2020,32,SD Huesca,50.0,0.0,7.0
2019-2020,32,UD Almería,50.0,-2.0,19.0
2019-2020,32,Girona,47.0,2.0,5.0
2019-2020,32,Elche CF,46.0,0.0,8.0
2019-2020,32,CD Mirandés,42.0,0.0,-1.0
2019-2020,32,Alcorcón,41.0,0.0,1.0
2019-2020,32,Rayo Vallecano,43.0,0.0,7.0
2019-2020,32,CF Fuenlabrada,39.0,-3.0,-1.0
2019-2020,32,Sporting Gijón,41.0,2.0,2.0
2019-2020,32,Ponferradina,40.0,-1.0,2.0
2019-2020,32,UD Las Palmas,38.0,-2.0,-5.0
2019-2020,32,CD Tenerife,39.0,2.0,0.0
2019-2020,32,Málaga CF,38.0,2.0,0.0
2019-2020,32,CD Numancia,38.0,-4.0,0.0
2019-2020,32,CD Lugo,34.0,2.0,-12.0
2019-2020,32,Real Oviedo,35.0,0.0,-6.0
2019-2020,32,Dep. La Coruña,35.0,-1.0,-18.0
2019-2020,32,Albacete,35.0,1.0,-13.0
2019-2020,32,Extremadura,31.0,-1.0,-13.0
2019-2020,32,Racing,28.0,0.0,-9.0
2019-2020,31,Cádiz CF,55.0,0.0,12.0
2019-2020,31,Real Zaragoza,52.0,2.0,14.0
2019-2020,31,SD Huesca,47.0,-2.0,5.0
2019-2020,31,UD Almería,47.0,-3.0,15.0
2019-2020,31,Girona,46.0,3.0,5.0
